Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
Stille AB,22.22,3.01,2.94,14.75,1.20,1.58,5.15,0.20
Stillfront Group AB,17.42,4.82,14.35,38.63,0.00,0.00,5.70,0.37
Surgical Science Sweden AB,-102.00,3.81,-0.60,17.58,0.00,0.00,3.48,-0.03
Svenska Aerogel Holding AB,-6.03,7.32,-1.20,2.44,0.00,0.00,1.68,-0.49
Swedencare AB,48.38,7.13,0.75,4.38,0.00,0.00,8.84,0.17
TagMaster AB ser. B,19.62,1.59,0.08,0.48,0.00,0.00,3.27,0.17
TalkPool AG,-400.00,0.74,-0.91,4.30,0.00,0.00,8.37,-0.21
Tangiamo Touch Technology AB,-13.11,1.93,-0.18,1.94,0.00,0.00,1.22,-0.09
TargetEveryOne AB,-3.70,0.54,-0.54,1.78,0.00,0.00,1.12,-0.30
TC TECH Sweden AB,-5.54,23.36,-2.12,2.73,0.00,0.00,4.71,-0.78
TCECUR Sweden AB,-114.81,0.87,-0.26,18.14,0.00,0.00,1.65,-0.01
Tempest Security AB,-24.60,0.78,-0.87,4.42,0.00,0.00,4.84,-0.20
TerraNet Holding AB ser. B,-2.46,11.34,-2.86,3.40,0.00,0.00,2.07,-0.84
The Lexington Company AB,-40.00,0.26,-0.33,14.69,0.00,0.00,0.90,-0.02
The Marketing Group plc,-0.58,0.03,-3.38,9.37,0.00,0.00,0.02,-0.36
THQ Nordic AB ser. B,62.66,20.21,1.98,15.28,0.00,0.00,11.11,0.13
Tobin Properties AB,-50.68,1.68,1.91,32.39,0.00,0.00,0.34,0.06
Tobin Properties AB BTA,5.76,1.66,1.91,32.39,0.00,0.00,0.34,0.06
Tobin Properties AB Pref,0.00,0.00,0.00,32.39,11.50,10.80,3.29,0.00
Torslanda Property Investment AB,16.42,5.73,8.22,96.38,8.00,5.93,1.40,0.09
Transtema Group AB,27.45,0.58,1.27,12.22,0.00,0.00,2.16,0.10
Tre Kronor Property Investment AB,7.93,25.81,14.13,111.63,8.00,7.14,1.00,0.13
Unibap AB,-14.64,21.19,-1.98,7.40,0.00,0.00,5.76,-0.27
Unlimited Travel Group AB,19.83,0.32,1.72,6.93,2.00,5.87,4.92,0.25
Urb-it AB,-0.14,0.57,-5.67,0.46,0.00,0.00,1.74,-12.33
Verisec AB,-23.48,9.92,-5.15,5.52,0.00,0.00,26.63,-0.93
Vicore Pharma Holding AB,-19.37,41.73,-1.11,7.85,0.00,0.00,1.38,-0.14
Vostok Emerging Finance Ltd,22.78,2.89,0.66,2.48,0.00,0.00,0.83,0.27
Waystream Holding AB,-8.10,0.74,-1.12,6.05,0.00,0.00,1.55,-0.19
WeSC AB,-0.55,0.19,-0.36,-0.14,0.00,0.00,-0.79,2.57
WeSC AB BTA,-0.32,0.20,-0.36,-0.14,0.00,0.00,-0.83,2.57
West International AB,56.52,3.14,0.27,1.87,0.00,0.00,6.95,0.14
Wifog Holding AB,-0.18,0.28,-1.12,-0.63,0.00,0.00,-0.33,1.78
Wifog Holding AB BTA1,-0.09,0.13,-1.12,-0.63,0.00,0.00,-0.15,1.78
Xbrane Biopharma AB,-5.86,11.23,-8.28,14.84,0.00,0.00,2.90,-0.56
Xintela AB,-3.78,0.00,-0.79,0.61,0.00,0.00,4.90,-1.30
XMReality AB,-4.16,6.91,-1.73,3.89,0.00,0.00,1.85,-0.44
Xspray Pharma AB,-52.77,30.35,-1.07,12.60,0.00,0.00,4.48,-0.08
Zaplox AB,-6.25,11.88,-0.95,1.85,0.00,0.00,3.21,-0.51
ZetaDisplay AB Pref,0.00,0.00,0.00,8.76,9.00,7.09,14.50,0.00
ZetaDisplay TO 1,-19.90,0.74,-0.49,8.76,0.00,0.00,1.11,-0.06
Zinzino AB Ser. B,429.00,0.52,-0.03,2.44,0.45,5.24,3.52,-0.01
Zutec Holding AB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ÅAC Microtec AB,-7.14,11.04,-0.85,1.37,0.00,0.00,4.43,-0.62
