Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
Cinnober Financial Technology AB,-9.27,2.95,-4.46,7.69,0.00,0.00,6.76,-0.58
Clavister Holding AB,-3.85,3.28,-2.85,8.93,0.00,0.00,1.59,-0.32
Clean Motion AB,-22.27,31.41,-0.50,1.59,0.00,0.00,7.70,-0.31
Clemondo Group AB,-2.41,0.12,-0.16,0.51,0.00,0.00,1.42,-0.31
Climeon AB ser. B,-38.70,73.58,-1.54,5.11,0.00,0.00,11.66,-0.30
Clinical Laserthermia Systems AB BTA 2 B,-10.36,19.55,-0.83,1.20,0.00,0.00,7.17,-0.69
Clinical Laserthermia Systems AB ser. B,-15.88,18.41,-0.83,1.20,0.00,0.00,6.75,-0.69
Cognosec AB,-30.00,0.45,-0.12,0.17,0.00,0.00,1.76,-0.71
Confidence International AB,-0.78,0.11,-0.10,0.29,0.00,0.00,0.48,-0.34
Confidence International AB BTA,-1.09,0.09,-0.10,0.29,0.00,0.00,0.38,-0.34
Copperstone Resources AB ser. B,-36.90,22.14,-0.03,0.28,0.00,0.00,3.95,-0.11
Corline Biomedical AB,-32.37,15.66,-0.59,3.15,0.00,0.00,6.06,-0.19
Cortus Energy AB,-8.00,21.33,-0.08,0.14,0.00,0.00,4.57,-0.57
Crunchfish AB,-6.48,11.33,-1.35,2.45,0.00,0.00,3.84,-0.55
Curando Nordic AB,-0.73,0.92,-1.46,0.36,0.00,0.00,2.90,-4.06
Curando Nordic AB BTU,-0.66,0.85,-1.46,0.36,0.00,0.00,2.68,-4.06
Cyxone AB,-10.65,0.00,-0.55,2.09,0.00,0.00,2.90,-0.26
DDM Holding AG,140.32,2.96,0.53,22.50,0.00,0.00,1.93,0.02
Deflamo AB ser. B,-0.18,0.63,-0.39,0.31,0.00,0.00,0.23,-1.26
Delarka Holding AB,-41.06,5.57,-2.74,86.55,8.00,7.11,1.30,-0.03
DevPort AB ser. B,9.86,0.62,5.92,9.84,0.00,0.00,5.93,0.60
Diadrom Holding AB,14.21,1.50,1.00,2.31,0.90,7.11,5.48,0.43
Diamyd Medical AB ser. B,-6.69,138.33,-0.76,1.54,0.00,0.00,2.69,-0.49
