Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
Infant Bacterial Therapeutics AB ser. B,-69.39,3 712.50,-5.78,22.82,0.00,0.00,6.51,-0.25
Instalco Intressenter AB,16.26,0.99,3.69,17.08,1.10,1.64,3.92,0.22
International Petroleum Corporation,0.00,0.00,0.00,28.83,0.00,0.00,1.47,0.00
Internationella Engelska Skolan i Sve AB,17.47,1.13,3.80,23.80,0.00,0.00,2.79,0.16
Invisio Communications AB,51.71,7.26,1.42,5.89,0.60,0.99,10.27,0.24
Inwido AB,11.12,0.56,5.02,52.92,3.50,5.69,1.16,0.09
ITAB Shop Concept AB ser. B,6.95,0.31,3.12,16.25,1.75,9.10,1.18,0.19
KABE Group AB ser. B,10.30,0.63,14.78,100.78,5.50,3.38,1.61,0.15
KappAhl AB,8.85,0.42,2.92,21.44,6.50,25.15,1.21,0.14
Karo Pharma AB,7.75,5.17,0.17,18.18,0.28,0.72,2.15,0.01
Knowit AB,15.52,1.22,10.22,49.05,4.75,2.71,3.57,0.21
Lagercrantz Group AB ser B,19.93,1.81,4.23,18.74,2.00,2.20,4.86,0.23
Lindab International AB,15.03,0.61,4.55,52.46,1.55,2.35,1.26,0.09
Lucara Diamond Corp,12.40,2.35,1.52,4.31,0.69,4.60,3.48,0.35
Lundin Gold Inc.,-14.55,0.00,-2.85,16.20,0.00,0.00,1.98,-0.18
Magnolia Bostad AB,5.93,0.84,5.16,26.20,1.75,4.46,1.50,0.20
Medicover AB ser. B,41.20,2.07,1.38,22.23,0.00,0.00,4.00,0.06
Medivir AB ser. B,-2.39,16.68,-16.36,25.32,0.00,0.00,1.39,-0.65
Mekonomen AB,13.69,0.76,8.36,55.12,5.82,5.54,1.90,0.15
Midsona AB ser. A,24.73,1.42,1.90,33.69,1.25,1.79,2.08,0.06
Midsona AB ser. B,23.29,1.34,1.90,33.69,1.25,1.90,1.96,0.06
Momentum Group AB ser. B,11.16,0.47,6.40,41.23,2.60,2.75,2.29,0.16
Mr Green & Co AB,31.20,2.29,2.76,24.57,1.30,1.89,2.81,0.11
Mycronic AB,13.25,3.95,6.40,18.39,2.50,2.07,6.58,0.35
Nederman Holding AB,19.11,1.13,5.30,30.61,2.00,1.97,3.32,0.17
Net Insight AB ser. B,279.00,2.51,0.01,1.41,0.00,0.00,1.98,0.01
New Wave Group AB ser. B,10.02,0.65,5.34,45.32,1.70,3.09,1.21,0.12
NGEx Resources Inc,-22.87,0.00,-0.24,0.26,0.00,0.00,26.38,-0.92
Nobina AB,15.04,0.59,3.15,16.25,3.35,5.49,3.76,0.19
Nolato AB ser. B,14.62,1.62,21.74,82.07,12.50,3.02,5.04,0.26
Nordic Waterproofing Holding A/S,12.81,0.84,5.68,41.91,3.75,4.92,1.82,0.14
NP3 Fastigheter AB,7.75,4.57,8.59,47.55,2.70,4.50,1.26,0.18
NP3 Fastigheter AB Pref,0.00,0.00,0.00,47.55,2.00,6.25,0.67,0.00
OEM International AB ser. B,19.44,1.80,9.26,34.70,6.00,2.80,6.17,0.27
Oncopeptides AB,-14.82,0.00,-6.26,10.50,0.00,0.00,14.76,-0.60
Opus Group AB,41.14,0.90,0.28,3.24,0.05,0.87,1.78,0.09
Orexo AB,19.38,3.34,0.67,9.37,0.00,0.00,6.64,0.07
Oscar Properties Holding AB,-3.22,0.18,11.75,51.03,0.00,0.00,0.33,0.23
Oscar Properties Holding AB PREF,0.00,0.00,0.00,51.03,20.00,15.38,2.55,0.00
Oscar Properties Holding AB PREFB,0.00,0.00,0.00,51.03,50.00,10.80,9.07,0.00
Platzer Fastigheter Holding AB ser. B,0.00,7.21,11.54,49.25,1.50,2.50,1.22,0.23
Probi AB,91.97,8.01,6.06,77.65,0.00,0.00,5.54,0.08
Qliro Group AB,832.00,1.10,-0.16,6.76,0.00,0.00,3.69,-0.02
Radisson Hospitality AB,31.65,0.63,0.25,14.36,0.00,0.00,2.47,0.02
RaySearch Laboratories AB ser. B,37.62,6.65,3.43,16.93,0.00,0.00,6.71,0.20
Recipharm AB ser. B,-305.00,1.54,-2.59,71.95,0.00,0.00,1.87,-0.04
SAS AB,5.55,0.16,3.48,24.41,0.00,0.00,0.87,0.14
SAS AB PREF,0.00,0.00,0.00,24.41,50.00,9.28,22.08,0.00
Scandi Standard AB,20.11,0.48,2.73,22.02,1.80,3.22,2.54,0.12
Scandic Hotels Group AB,13.24,0.61,6.87,71.11,3.40,3.96,1.21,0.10
SECTRA AB ser B,50.36,8.09,5.13,15.62,4.50,1.66,17.38,0.33
Semafo Inc.,-658.67,3.00,0.51,18.52,0.00,0.00,1.07,0.03
Serneke Group AB B,7.43,0.25,13.94,78.33,4.00,6.67,0.77,0.18
SkiStar AB ser. B,23.59,3.98,9.96,51.86,7.00,2.98,4.53,0.19
SSM Holding AB,4.55,0.88,3.77,24.52,0.00,0.00,0.50,0.15
Starbreeze AB ser. A,-42.84,3.95,-0.54,4.55,0.00,0.00,1.79,-0.12
Starbreeze AB ser. B,-43.95,4.05,-0.54,4.55,0.00,0.00,1.84,-0.12
Stendörren Fastigheter AB ser. B,5.53,5.67,14.34,86.86,2.24,2.41,1.07,0.17
Svolder AB ser. A,4.12,0.00,26.95,243.39,2.00,1.80,0.46,0.11
Svolder AB ser. B,3.70,0.00,26.95,243.39,2.00,2.01,0.41,0.11
Swedol AB ser. B,11.63,0.85,2.49,12.98,0.90,2.87,2.42,0.19
Systemair AB,22.40,0.70,4.43,50.39,2.00,2.04,1.94,0.09
Tethys Oil AB,9.07,3.56,7.46,49.73,5.00,5.23,1.92,0.15
TF Bank AB,10.82,3.34,7.04,25.16,2.25,2.83,3.16,0.28
Tobii AB,-20.27,3.05,-1.92,10.88,0.00,0.00,3.13,-0.18
Traction AB ser. B,19.36,0.00,19.02,171.91,2.75,1.62,0.99,0.11
Troax Group AB,24.63,3.36,8.44,34.10,4.25,1.69,7.39,0.25
VBG GROUP AB ser. B,14.10,1.05,9.62,80.18,3.25,2.37,1.71,0.12
Victoria Park AB Pref,0.00,0.00,0.00,25.45,20.00,6.56,11.98,0.00
Victoria Park AB ser. A,5.97,8.37,7.82,25.45,0.40,1.08,1.45,0.31
Victoria Park AB ser. B,6.12,8.59,7.82,25.45,0.40,1.05,1.49,0.31
Vitec Software Group AB ser. B,27.42,2.62,2.70,13.34,1.10,1.29,6.37,0.20
Vitrolife AB,58.26,15.77,2.43,11.29,0.74,0.49,13.47,0.22
Volati AB,12.85,0.66,2.98,29.25,0.50,1.40,1.22,0.10
Volati AB Pref,0.00,0.00,0.00,29.25,40.00,6.01,22.77,0.00
Vostok New Ventures Ltd,3.83,0.00,16.02,85.86,0.00,0.00,0.78,0.19
Xvivo Perfusion AB,279.59,23.50,0.25,19.26,0.00,0.00,7.11,0.01
"Öresund, Investment AB",9.48,0.00,8.47,128.15,4.75,3.28,1.13,0.07
