Aktie,P/E,P/S,Vinst/aktie,Substans/aktie,Utdelning/aktie,Direktavkastning,Kurs/JEK,Vinst/JEK
"Lundbergföretagen AB, L E ser. B",11.77,3.22,26.94,252.40,3.00,1.13,1.05,0.11
Lundin Mining Corporation,6.68,1.48,4.84,41.56,0.83,2.38,0.84,0.12
Lundin Petroleum AB,23.18,5.57,10.46,-8.51,4.00,1.48,-31.68,-1.23
Millicom International Cellular S.A. SDB,37.60,1.48,6.99,251.12,22.11,4.40,2.00,0.03
Modern Times Group MTG AB ser. A,18.23,1.26,18.74,77.62,12.50,3.78,4.26,0.24
Modern Times Group MTG AB ser. B,17.46,1.21,18.74,77.62,12.50,3.94,4.08,0.24
Munters Group AB,16.88,0.60,1.45,20.41,0.30,0.90,1.63,0.07
NCC AB ser. A,39.29,0.27,9.26,50.87,8.00,5.82,2.70,0.18
NCC AB ser. B,39.00,0.27,9.26,50.87,8.00,5.86,2.68,0.18
NetEnt AB ser. B,15.35,5.71,2.20,3.81,2.25,6.08,9.71,0.58
NIBE Industrier AB ser. B,25.19,2.42,3.38,25.41,1.05,1.15,3.60,0.13
Nobia AB,9.80,0.84,5.44,23.70,7.00,12.21,2.42,0.23
Nokia Corporation,-26.15,1.24,-2.49,27.28,1.95,4.01,1.78,-0.09
Nordea Bank Abp,9.78,3.44,7.39,78.95,6.85,8.63,1.01,0.09
Oriflame Holding AG,11.50,0.87,16.39,39.23,16.67,7.94,5.35,0.42
Pandox AB ser. B,8.45,5.50,19.89,112.51,4.40,2.96,1.32,0.18
Peab AB ser. B,10.64,0.43,6.97,35.00,4.00,5.43,2.10,0.20
Ratos AB ser. A,25.21,0.42,0.83,29.80,2.00,6.67,1.01,0.03
Ratos AB ser. B,23.08,0.38,0.83,29.80,2.00,7.28,0.92,0.03
Resurs Holding AB,10.53,3.83,5.40,30.94,3.30,5.57,1.91,0.17
SAAB AB ser. B,30.93,1.17,13.10,130.00,5.50,1.61,2.63,0.10
Sagax AB A,6.09,10.40,17.62,70.93,1.79,1.46,1.73,0.25
Sagax AB B,5.77,9.86,17.62,70.93,1.79,1.54,1.64,0.25
Sagax AB D,1.65,2.82,17.62,70.93,2.00,6.02,0.47,0.25
Sagax AB pref,0.00,0.00,0.00,70.93,2.00,5.96,0.47,0.00
Sandvik AB,10.55,1.91,10.52,38.86,3.50,2.53,3.56,0.27
Securitas AB ser. B,17.94,0.57,7.49,41.72,4.00,2.77,3.47,0.18
Skandinaviska Enskilda Banken ser. A,9.44,4.45,7.49,6.56,5.75,6.15,14.26,1.14
Skandinaviska Enskilda Banken ser. C,9.38,4.42,7.49,6.56,5.75,6.18,14.18,1.14
Skanska AB ser. B,15.67,0.36,10.00,64.45,8.25,6.02,2.13,0.16
"SKF, AB ser. A",9.54,0.81,12.02,61.57,5.50,3.99,2.24,0.20
"SKF, AB ser. B",9.58,0.81,12.02,61.57,5.50,3.98,2.25,0.20
SSAB AB ser. A,13.20,0.58,2.23,51.69,1.00,2.71,0.72,0.04
SSAB AB ser. B,10.57,0.46,2.23,51.69,1.00,3.38,0.57,0.04
Stora Enso Oyj ser. A,12.37,1.13,7.82,75.19,4.20,2.95,1.90,0.10
Stora Enso Oyj ser. R,11.89,1.09,7.82,75.19,4.20,3.07,1.82,0.10
Svenska Cellulosa AB SCA ser. A,19.40,3.14,2.67,52.33,1.50,1.79,1.60,0.05
Svenska Cellulosa AB SCA ser. B,19.29,3.13,2.67,52.33,1.50,1.80,1.59,0.05
Svenska Handelsbanken ser. A,11.66,4.67,8.35,72.83,7.50,7.43,1.39,0.11
Svenska Handelsbanken ser. B,11.78,4.72,8.35,72.83,7.50,7.35,1.40,0.11
SWECO AB ser. A,19.29,1.42,10.24,49.08,5.00,2.49,4.10,0.21
SWECO AB ser. B,19.17,1.41,10.24,49.08,5.00,2.50,4.07,0.21
Swedbank AB ser A,10.74,5.38,17.38,117.82,13.00,6.34,1.74,0.15
Swedish Match AB,23.59,4.95,18.88,-22.99,16.60,3.75,-19.24,-0.82
Swedish Orphan Biovitrum AB,29.32,8.55,4.27,24.59,0.00,0.00,8.42,0.17
Tele2 AB ser. A,101.98,2.07,0.85,33.84,4.00,3.88,3.04,0.03
Tele2 AB ser. B,103.76,2.10,0.85,33.84,4.00,3.82,3.10,0.03
Telia Company AB,34.74,2.20,2.22,23.09,2.30,5.66,1.76,0.10
Thule Group AB,22.24,2.90,6.93,33.97,6.00,3.59,4.92,0.20
Tieto Corporation,16.23,1.37,14.36,63.34,14.21,5.06,4.44,0.23
Trelleborg AB ser. B,14.99,1.29,10.60,100.40,4.50,3.00,1.50,0.11
Veoneer Inc. SDB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Volvo, AB ser. A",10.00,0.81,10.33,50.30,4.25,3.17,2.66,0.21
"Volvo, AB ser. B",10.00,0.81,10.33,50.30,4.25,3.17,2.66,0.21
Wallenstam AB ser. B,11.63,15.75,7.40,58.81,1.80,2.20,1.39,0.13
Wihlborgs Fastigheter AB,6.10,6.83,16.71,88.42,3.13,3.07,1.15,0.19
ÅF AB ser. B,16.36,1.14,9.62,63.53,5.00,2.68,2.93,0.15
